tagID,tagValue
1,metal
2,alternative metal
3,goth rock
4,black metal
5,death metal
6,industrial metal
7,gothic metal
8,terror ebm
9,electro-industrial
10,harsh ebm
11,post black metal
12,aggrotech
13,chillout
14,ambient
15,downtempo
16,new wave
17,synth pop
18,electronic
19,80's
20,lounge
21,trip-hop
22,acid jazz
23,new age
24,pop
25,80s
26,atmospheric
27,ethereal
28,deutsch
29,schlager
30,german
31,hi-nrg
32,avant-garde
33,experimental
34,minimal
35,cyberpunk
36,club house
37,groove
38,cafe del mar
39,dance
40,gregorian chant
41,female vovalists
42,synth-pop
43,classic 80s
44,glitch
45,u-cover
46,melancholy
47,idm
48,vu-us
49,female vocalist
50,modern classical
51,clicks and cuts
52,databloem
53,field recording
54,october man recordings
55,greece
56,melancholic
57,clicks'n'cuts
58,halbischt
59,drone
60,melodramatic popular song minimal
61,industrial
62,trip hop
63,basses frequences
64,mille plateaux
65,folktronica
66,abstract
67,noise
68,glitch hop
69,dub
70,dubstep
71,hiphop
72,hard rock
73,rock
74,synthpop
75,psychedelic rock
76,progressive metal
77,ambient rock
78,alternative rock
79,alternative
80,glam rock
81,indie
82,doom metal
83,jazz
84,indie rock
85,funk
86,ebm
87,post-rock
88,psychedelic
89,symphonic metal
90,trance
91,thrash metal
92,dope
93,israeli
94,winter
95,autumn
96,spring
97,want
98,summer
99,sunshine
100,hip hop under
101,raptuga
102,hip-hop
103,rap
104,chill out
105,house
106,taraxinha
107,kizomba
108,rock and roll
109,pop rock
110,kizomba zouk
111,70 hits
112,underground hip hp
113,hip hop angolano
114,luso hip hop
115,french rap
116,jam
117,kwasa
118,semba
119,angola
120,world music
121,uk
122,old school
123,new york
124,pop dance
125,manguraunderground
126,zouk
127,seen live
128,hit
129,music idol
130,female vocalists
131,girl groups
132,girls
133,deutschsprachig
134,singer-songwriter
135,german artists
136,bundesvision song contest 2006
137,specials to 3mmey
138,hard rock - metal
139,j-rock
140,j-pop
141,visual kei
142,electronic - trance - psytrance
143,classical - pop
144,arabic
145,kpop
146,jaebeom
147,top
148,gd
149,g-dragon
150,2pm
151,wonder girls
152,jyp
153,junsu
154,2am
155,park jaebum
156,park jaebeom
157,jaebum
158,jaywalkers
159,anime
160,noise rock
161,kim jong kook
162,soya
163,niece
164,k-pop
165,good music
166,death cab for cutie
167,rnb
168,teen rock
169,pop punk
170,grunge
171,my fav punk band
172,so cool
173,lyceum
174,belarussian pop
175,belarussian rnb
176,emo
177,nu metal
178,screamo
179,gothic
180,post-hardcore
181,punk
182,punk rock
183,christian rock
184,soundtrack
185,acoustic
186,emocore
187,electronica
188,polish
189,industrial rock
190,gothic rock
191,instrumental
192,classic rock
193,country
194,hardcore
195,british
196,polish rock
197,gangsta rap
198,rapcore
199,electropop
200,hot
201,guilty pleasures
202,electro pop
203,disco
204,fierce
205,urban pop
206,<3
207,want to see live
208,diva
209,legend
210,00s
211,thats hot
212,criminal
213,beautiful
214,big voice
215,icon
216,american
217,untalented
218,slut
219,whore
220,fake boobs
221,the hills
222,people who have no talent
223,umtalented
224,bad
225,money
226,california
227,comedy
228,catchy
229,epic
230,love it
231,ballad
232,addictive
233,dark
234,amazing
235,dancepop
236,the fame monster
237,#1
238,sexy
239,spanish new wave
240,80s pop espanol
241,spanish pop
242,power pop
243,spanish rock
244,spanish pop-rock
245,garage
246,pop espanol
247,60s
248,garage revival
249,garage rock
250,60s psychedelic
251,swing
252,mod
253,rockabilly
254,freakbeat
255,rock espanol
256,retro swing
257,swing revival
258,neo swing
259,psychobilly
260,grave stompers
261,punkabilly
262,50s rock revival
263,80s garage
264,90s pop espanol
265,ska
266,psychedelic garage
267,psychedelic garage revival
268,surf
269,techno pop
270,spanish rockabilly
271,60s garage
272,garage surf
273,ska revival
274,surf revival
275,post-punk
276,instro rock
277,mod revival
278,rock urbano
279,ska punk
280,rad
281,grind
282,spacy
283,raw
284,1st take
285,awesome
286,pretty
287,lovely
288,beatsy
289,hot guitar
290,lesser known yet streamable artists
291,greek
292,folk
293,cypriot
294,greek pop
295,greek rock
296,indie pop
297,pop-rock
298,greek alternative
299,world
300,greek hip-hop
301,eurovision
302,ethnic
303,x factor
304,hip hop
305,pop-folk
306,male vocalists
307,pop folk
308,latin
309,electro
310,modern folk
311,reggae
312,greek folk
313,laiko
314,greek rap
315,asian
316,entexno
317,south pacific
318,traditional
319,spanish
320,chilean
321,french
322,pacific
323,hood
324,lady
325,ft
326,wale
327,progressive trance
328,psycho
329,slayer
330,death
331,pain
332,atheist
334,palestine
335,pestilence
341,noize
342,idmbient
343,crust
344,witch house
345,russian
346,female
347,gay
348,gay icons
349,teen pop
350,gay icon
351,europop
352,90s
353,girl
354,fun
355,female pop
356,latin pop
357,dance pop
358,queen of pop
359,top artists
360,australian
361,radio crazy
362,toxic
363,brit pop
364,favorites
365,pwl
366,kylie minogue
367,my favorite music
368,mexican
369,kylie
370,favorite
371,r and b
372,best of pop
373,i luv this
374,ateens
375,russian metalcore
376,metalcore
377,nintendo-core
378,deathcore
379,bosnian thrashcore
380,metal core
381,thrashcore
382,female melodic death metal
383,modern melodic metal
384,modern melodic death metal
385,melodic death metal
386,heavy metal
387,progressive rock
388,brit rock
389,britpop
390,indsutrial
391,shoegaze
392,death rock
393,dream pop
394,proto-punk
395,new romantic
396,electroclash
397,alterntative rock
398,alternative pop
399,popstars
400,talent
401,king of pop
402,the king of pop
403,michael-jackson-the-king-of-pop
404,girlgroup
405,disney
406,brazil
407,genial
408,female vocals
409,guitar virtuoso
410,albums i own
411,andre matos
412,best band ever
413,great singer
414,melodic metal
415,nwobhm
416,tr00
417,rock opera
418,iron maiden cover
419,metal god
420,sao paulo
421,best singer ever
422,male vocals
423,helloween
424,progressive
425,pastel
426,depressive
427,hangar
428,jau
429,babi fernandes nadaleto
430,heavy rock
431,hugo mariutti
432,brazilian
433,nightwish cover
434,adrian dragassakis
435,breyla iv
436,angra
437,rafael bittencourt
438,animal
439,fodinha
440,clasical
441,industrail rock
442,sludge
443,new ag
444,progessive metal
445,blues rock
446,grunge rock
447,favourites
448,my favourite songs
449,solar stone
450,underworld
451,sophie ellis-bextor
452,plaid
453,adymus
454,dj tony venilman
455,guru josh project
456,wolfgang gartner
457,dj disciple
458,dj eco
459,danjo
460,rozza
461,dj walus
462,the touch
463,nate wollman
464,eliess
465,amntqnn onratob
466,david amo
467,dj antonio
468,art meson
469,dan stone
470,kurd maverick
471,andrew wooden
472,spirit catcher
473,that mucho
474,ernesto vs bastian
475,anjunabeats
476,julien creance
477,silent intensity
478,transa
479,radio romania
480,radio
481,usa
482,sasha
483,party
484,rick astley
485,thomas newman
486,smile
487,poison
488,runner runner
489,taylor momsen
490,all time low
491,nothing personal
492,kesha
493,glee
494,synth
495,synth wave
496,80s awesome
497,80s party
498,i love 80s
499,melodic
500,brilliant
501,pet shop boys
502,back to the 80s
503,live
504,classic synthpop
505,80s pop
506,i love 90s
507,10s
508,love
509,dance-pop
510,80s new wave
511,english
512,romantic
513,nostalgic
514,depeche mode
515,best of 80s
516,i love disco diamonds
517,80s dance
518,hungarian
519,eighties
520,romance
521,italo disco
522,remix album
523,nordic
524,great
525,genious
526,piano
527,classic
528,folk rock
529,contemporany
530,chile
531,guitar hero
532,too slow amarok
533,renaissance
534,impressionist
535,baroque
536,minimalista
537,neofolk
538,japan 80s
539,strings - organs  rubber wind
540,djent
541,japanese
542,avant-garde metal
543,stoner rock
544,composers
545,classical
546,jazz fusion
547,fusion
548,c
549,hardrock
550,black music 4 black ppl listened 2 by white hipsters
551,lastfm hipster artists
552,weeabo
553,wigger
554,lastfm elitist repellent
555,industrial pop
556,musique concrete
557,easy listening
558,masturbation
559,pretentious crap
560,best albums
561,ep
562,futuremelon
563,terrorbanana
564,psytrance
565,dark electro
566,goffpop
567,rave
568,goa
569,germany
570,techno
571,dark techno
572,helltrance
573,vampirepop
574,dark ambient
575,darkwave
576,alpha quadrant
577,industrial techno
578,ambient industrial
579,intelligent electro
580,industrial dance
581,boring
582,goff
583,pissbass
584,new kid on the block
585,darktechno
586,science fiction
587,darktrance
588,psychedelic trance
589,star trek
590,electrowave
591,borg
592,techtrance
593,dark electronic
594,old shit
595,war
596,tech-trance
597,combichrist
598,portion control
599,cyber
600,futurepop
601,swedish
602,futurepop anthem
603,hardstyle
604,norwegian
605,gabber
606,multiple artists
607,dutch
608,italian
609,hard trance
610,childhood
611,canadian
612,deathrock
613,powernoise
614,belgian
615,power metal
616,technical thrash metal
617,speed metal
618,on frozen fields
619,groove metal
620,war metal
621,battle metal
622,best of the best
623,depression
624,electro house
625,soul
626,drum and bass
627,podcast
628,wtf
629,disappointment
630,timbaland killed my carrer
631,minimalist
632,rihanna
633,miley cyrus
634,americans
635,shakira
636,britney spears
637,tecno
638,r&b
639,queen
640,urban
641,top 40
642,guilty pleasure
643,teen
644,tech
645,era
646,ass
647,00
648,thalia
649,sex symbol
650,jlo
651,pop teen
652,rap reggae
653,camp rock
654,ashley tisdale
655,selena gomez in the scene
656,jeffree star
657,katy perry
658,lady gaga
659,mi delirio
660,woman
661,ballads
662,perfect
663,riri
664,christina aguilera
665,xtina
666,not myself tonight
667,bionic
668,copa
669,xtina love
670,girl power
671,why on earth is this just a bonus track
672,raining men
673,supersonic
674,rated r
675,te amo
676,sweet dreams
677,3oh3
678,bestrihanna
679,gggb
680,favoritesong
681,good girl gone bad
682,tip pon toe
683,country pop
684,punk pop
685,nickelodeon
686,idol
687,abba
688,rainha do pop
689,madonna
690,swedish pop
691,favorite by this group
692,melhor cantora europeia de todos os tempos
693,mpb
694,ana carolina
695,oldies
696,1970s
697,best of all
698,love song
699,trilha sonora
700,60's
701,beyonce
702,smooth
703,fucking sexy
704,ackles
705,f-u-c-k me
706,2008
707,brasileira
708,get stupid
709,1982
710,the best of madonna
711,1978
712,gospel
713,best song ever
714,sweden
715,roxette
716,joyride
717,scandinavian
718,christmas songs
719,gossip girl
720,salsa
721,trumpet
722,colombia
723,reggaeton
724,happy
725,vivaldi
726,salsa romantica
727,vocal
728,rock en espanol
729,concerto
730,love at first listen
731,barroco
732,antonio vivaldi
733,barroco favorito
734,latino
735,70s
736,dance rock
737,great lyrics
738,nu-metal
739,swedish metal
740,brutal deathgrind
741,grindcore
742,brutal death metal
743,technical death metal
744,death metalcore
745,brutal deathcore
746,progressivo
747,christian metalcore
748,jpdm
749,deathgrind
750,post hardcore
751,russian death metal
752,bree bree
753,goregrind
754,vocalist
755,bay area
756,southern rap
757,indie folk
758,instrumental hip-hop
759,acoustic music
760,rock in rool
761,pop metal
762,not emo
763,andy six
764,post-hadcore
765,lady gaga play day
766,holiday soundtrack
767,unreleased
768,stand out be proud
769,demi lovato
770,my childhood
771,underrated
772,one of her best songs
773,her best
774,amazing voice
775,elvis presley
776,gross meaning but good song
777,why on earth wasnt this released
778,party time
779,vanessa hudgens
780,legends
781,2010
782,one of my favorites
783,hilarious
784,american idol
785,never gets old
786,celebrities who one day im determined to meet
787,nick
788,wishlist
789,2010s
790,soundrack of my life
791,taylor swift
792,1980s
793,fucking awesome
794,play this loud enough to raise the dead
795,haunting
796,music for tossing furniture around
797,masterpiece
798,unforgettable
799,genius
800,cello metal
801,hypnotic
802,take your shirt off and dance to it
803,apocalyptic
804,so sad yet so beautiful
805,i think trent reznor is superior to god
806,soundtrack of my dreams
807,helplessly singing along
808,beautifully depressing
809,great cover
810,attitude
811,peaceful
812,great b-side
813,songs you must hear before you die
814,perfection
815,my face is completely rocked off
816,fucking beautiful
817,mega awesome sweet fuckin hyperpowerful riff
818,greatest rock anthems
819,my music pillow
820,chen-
821,post rock
822,basque
823,brasil
824,mellow
825,relaxing
826,chill
827,medieval
828,finnish
829,blues
830,guitar
831,the best
832,music to cry
833,energy
834,ukrainian
835,nostalgia
836,dreamy
837,sad and slow
838,amazing vocal
839,sad
840,perfect lyrics
841,absolutely genius
842,piano rock
843,rock ballad
844,sensual
845,meditative
846,placebo
847,female vocal
848,hair metal
849,riot grrrl
850,cover
851,rock catala
852,christian metal
853,celtic
854,spiritual
855,new rave
856,mixmaster supreme
857,disco classic
858,smooth groove
859,damn boy
860,glorious gospel
861,deep house mixes
862,90s jam
863,forgotten 80s jam
864,loleeta
865,memphis soul
866,miss grace jones
867,grace
868,loleatta
869,drum 'n' bass
870,dnb
871,hot enough to sweat out your press n curl
872,quiet storm
873,70s jazz
874,luther vandross
875,beautifully sad love song
876,beautifully sad song
877,vocal classic
878,david at his finest
879,oh so beautiful
880,fonky fresh jam
881,undulating
882,slinky
883,philly soul
884,still a jam
885,fav songs
886,albums i have on mp3
887,new wave songs
888,new wave albums
889,fav artists
890,albums i have on vinyl
891,synthpop songs
892,1982 songs
893,fav albums
894,synthpop albums
895,british artists
896,1981 songs
897,new wave artists
898,albums i have on cd
899,1983 songs
900,new romantic songs
901,1984 songs
902,1979 songs
903,1984 albums
904,debut albums
905,1983 albums
906,3 star albums
907,synthpop artists
908,1980 songs
909,1982 albums
910,4 star albums
911,electronic albums
912,1981 albums
913,1980 albums
914,1986 albums
915,1985 albums
916,1985 songs
917,electronic songs
918,american artists
919,b-sides
920,alternative albums
921,1979 albums
922,instrumentals
923,1986 songs
924,1987 albums
925,2 star albums
926,1988 albums
927,5 star albums
928,post-punk songs
929,new romantic albums
930,disappointing albums
931,rock albums
932,1978 albums
933,pure aural sex
934,songs to listen to on a sunny day
935,lo-fi
936,mariah carey
937,leona lewis
938,run the world
939,weirdo music
940,clocks
941,arjen anthony lucassen
942,space metal
943,metroid
944,game
945,my other car is a cdr
946,lisp
947,pirate metal
948,alliterative
949,duke nukem
950,epic song
951,sicp
952,neo-classical metal
953,june
954,best albums of 2010
955,favourite
956,the beowulfs choice
957,scholes song
958,the pedofinder general
959,po-kraftwerkski
960,my pleasuredome
961,zadrotstvo
962,my fav fun
963,touching song
964,ogonj
965,absolute disco
966,oni pout
967,ohm sweet ohm
968,nejlepsi
969,po-andoneovski
970,hellish song
971,polotenchik poet
972,my choice
973,my fav voice
974,tango
975,my calm
976,true synthpop
977,classical crossover
978,opera
979,andrew lloyd webber
980,tenor
981,mezzo-soprano
982,pop opera
983,soprano
984,baritone
985,popera
986,alessandro safina
987,caruso
988,the phantom of the opera
989,duet
990,turandot
991,musical
992,adagio
993,phantom of the opera
994,foll
995,mepoupe
996,korean
997,pure love
998,somebody told me
999,alternatif
1000,anglais
1001,darkstep
1002,darkside
1003,hardstep
1004,belarus
1005,death-metal
1006,mathcore
1007,g-funk
1008,bandana music
1009,westcoast
1010,g-funk francais
1011,bay rap
1012,chicano rap
1013,laglak
1014,gangsta rnb
1015,pimp rap
1016,jazz rock
1017,math rock
1018,jazzcore
1019,jazz core
1020,indie jazz dance math rock
1021,aysel gurel
1022,onno tunc
1023,1992
1024,1988
1025,1990
1026,1994
1027,sezen aksu
1028,1987
1029,1993
1030,1986
1031,1984
1032,1991
1033,garo mafyan
1034,atilla ozdemiroglu
1035,1989
1036,perdesiz gitar
1037,banu kirbag
1038,1999
1039,1997
1040,1996
1041,2005
1042,1985
1043,arabesk
1044,1995
1045,1983
1046,1998
1047,erkan ogur
1048,1981
1049,gundogarken
1050,bir yaz daha bitiyor
1051,istanbul
1052,baha boduroglu
1053,turk sanat muzigi
1054,mozaik
1055,cook alametler belirdi
1056,nur yoldas
1057,parios
1058,flamenco jazz
1059,modern klasik
1060,ezginin gunlugu
1061,yildirim turker
1062,oludeniz
1063,tanju duru
1064,selmi andak
1065,sn
1066,1979
1067,vedat sakman
1068,arto tuncboyaciyan
1069,kivanc k
1070,1980
1071,rock 'n' roll
1072,backstage rock shop artist
1073,loistavuus
1074,rhythm and blues
1075,scandinavian action rock
1076,rock n roll
1077,rock'n roll
1078,seattle sound
1079,trancecore
1080,mexico
1081,favourite albums
1082,gader
1083,dirty south
1084,2006
1085,2002
1086,female voices
1087,justin timberlake
1088,jessica simpson
1089,songwriter
1090,2000
1091,inspirational
1092,jacksons
1093,fmera album
1094,best song in the world
1095,lofi
1096,chill zone
1097,covers
1098,miserable
1099,christmas blend
1100,rain
1101,morning
1102,duets
1103,industri
1104,steve albini
1105,steve abini
1106,no wave
1107,avant garde
1108,marathon
1109,beer
1110,touhou
1111,hai
1112,susu
1113,utage
1114,peppy
1115,video
1116,nico
1117,iosys
1118,osu
1119,ievan polka
1120,ryusueigun
1121,can
1122,you
1123,just
1124,gaga
1125,parody
1126,power
1127,polka
1128,spice girls
1129,backstreet
1130,hair
1131,afro
1132,parappa
1133,cut
1134,trim
1135,flave
1136,bass
1137,hoppar
1138,mafia
1139,superhit
1140,masz do cholery
1141,musicals
1143,ross
1150,damon albarn
1151,drone doom
1152,alternativemetal
1153,hott
1154,sufoco
1155,80's music
1156,big fun
1157,big hair
1158,supercool
1159,deep
1160,classic pop
1161,heavy funk
1162,tecno comedy
1163,80z pop
1164,tragically-80s
1165,popdance
1166,hillarious
1167,hot track
1168,funny scottish bastard
1169,sexy song
1170,positive
1171,beautiful sounds
1172,dance funk
1173,gorgeous boys
1174,gorgeous soul
1175,dancerock
1176,mosh song
1177,hot voice
1178,fun-dance-song
1179,great love song
1180,popfun
1181,australian rock
1182,genius at work - brilliant song
1183,aussie pop dance band
1184,80z rock
1185,eerily beautiful
1186,poprock
1187,hotttttttt
1188,brilliant live rock band
1189,aweosme rock
1190,british tosser
1191,ahhhhhhhhh
1192,australian pop rock at its best
1193,timeless rock
1194,eargasm x 100000
1195,lush
1196,wow
1197,exclamation mark
1198,dreampop
1199,cheese on toast
1200,samey
1201,just a little bit sexy
1202,wooooooaaaaahh
1203,jewish folk alternative rap
1204,hilary duff
1205,featuring
1206,slash
1207,fergie
1208,8-bit
1209,overrated
1210,southern rock
1211,synth indie rock
1212,favourite artists
1213,simple but awesome
1214,i love this fucking song
1215,so catchy i might explode
1216,depeche mode covers
1217,if it were a cake i could eat it
1218,best of 2008
1219,jrock
1220,j-metal
1221,japanese hip-hop
1222,hardcore punk
1223,marisa mix
1224,ben folds
1225,tom waits
1226,1973
1227,4/4
1228,guitar solo
1229,brawler
1230,bluesy
1231,loneliness
1232,green day
1233,the weakerthans
1234,the roots
1235,regina spektor
1236,1970
1237,2009
1238,2007
1239,horns
1240,2004
1241,iron & wine
1242,cake
1243,randy newman
1244,growing up
1245,alternative music
1246,alternatif muzik
1247,rock gaucho
1248,rio grande do sul
1249,powerpop
1250,rock porto alegre
1251,italian pop
1252,christian
1253,road  movie
1254,disney on ice
1255,hal
1256,instructive
1257,audio book
1258,propaganda
1259,core
1260,school
1261,etheral
1262,chipgaze
1263,experimental metal
1264,breakcore
1265,speedcore
1266,chiptune
1267,raggacore
1268,jungle
1269,8bit
1270,terror
1271,8 bit
1272,latvian
1273,breakbeat
1274,hardcore techno
1275,south park
1276,cartman
1277,dominican republic
1278,crossover
1279,old school death metal
1280,ambient black metal
1281,funeral doom metal
1282,funeral doom
1283,death/black metal
1284,sleaze rock
1285,glam-sleaze rock
1286,glam metal
1287,rock 80s
1288,street punk
1289,chaos punk
1290,sleaze
1291,performer
1292,best seller
1293,entertainer
1294,pop icon
1295,pop queen
1296,superstar
1297,grammy winner
1298,recordwoman
1299,very very guilty pleasure
1300,britney fan
1301,heartbreaker
1302,composer
1303,mtv
1304,unreal
1305,ost
1306,record
1307,bleach
1308,star
1309,tears
1310,big bang
1311,living legend
1312,unusual you like
1313,blackout
1314,truth
1315,bleachaddict
1316,jpop
1317,emotion
1318,transcendant
1319,pop princess
1320,amazing fans
1321,best song
1322,post-metal
1323,grime
1324,artcore
1325,jumpstyle
1326,unique song
1327,war is like music
1328,dub dos brother
1329,fucking awensome
1330,pink floyd
1331,guns n roses
1332,fucking cool
1333,american blues artist group
1334,ameribluesscene
1335,blueartistgroup
1336,american blues scene
1337,guitar karlsruhe
1338,allboutguitar
1339,seattle
1340,blues music
1341,red shoe diaries
1342,brent david fraser
1343,fame la
1344,harmonica blues
1345,dudley taft
1346,german blues lovers
1347,excellence
1348,great song
1349,great intro here nice chill beat with uptempo feel as well
1350,one of the illest groups dah shinin is a must get top 3 album ever
1351,vocal trance
1352,love songs
1353,scottish
1354,soft rock
1355,christmas
1356,50s
1357,eurodance
1358,post-grunge
1359,modern metal
1360,german metal
1361,industrial death metal
1362,stoner metal
1363,sludge metal
1364,bulgarian
1365,female fronted metal
1366,freestyle
1367,shred
1368,funny
1369,radio show
1370,advice
1371,talk show
1372,folk metal
1373,viking metal
1374,wolf metal
1375,carrie underwood
1376,my fav girls
1377,country divas
1378,best of 2009
1379,the best of pop
1380,female country
1381,carrie underwood favourite
1382,soundtrack of my life
1383,sex pop
1384,adam lambert
1385,lil wayne
1386,country favorites
1387,country rock
1388,my favorite artists
1389,female singers
1390,best albums of 2009
1391,country albums to check out
1392,eminem
1393,linda perry
1394,im ok
1395,kelly clarkson
1396,already gone
1397,pop rock nacional
1398,philadelphia
1399,country dobro americana dylan humor parody satire funny zappa
1400,fiscal crisis
1401,relevant now
1402,acme of western civilization
1403,fingerpicking
1404,tromboners
1405,godlike
1406,eceletic
1407,philadelphia philly funny quirky
1408,phildelphia
1409,ents
1410,west philly
1411,fugs
1412,upper darby
1413,trees
1414,talking heads
1415,weed
1416,devo
1417,phish
1418,marijuana
1419,zappa
1420,philly
1421,420
1422,trippy
1423,humor
1424,drugs
1425,prog
1426,quirky
1427,aufdiefresse
1428,urz
1429,family guy
1430,big beat
1431,aggressive
1432,humour
1433,love metal
1434,the beatles
1435,fevereirooooo lol
1436,music faz lembrar a a nani num sei pq mais eu lembro
1437,music gay :d
1438,music ki me faz lembrar meu amor s2
1439,digimon xd lol
1440,music lembra quando eu thava 7 serie lol
1441,lol music boa de mais da conta
1442,rock ballads
1443,finnish rock
1444,theatrical
1445,emotional
1446,dramatic
1447,remix
1448,educational music
1449,kindie
1450,childrens music
1451,prog-rock
1452,coffeehouse
1453,beatles influenced
1454,beck-influenced
1455,dancehall
1456,song for the dumped
1457,chill-out
1458,orchestral pop
1459,horror film music
1460,theatre
1461,movie music
1462,broadway
1463,eerie
